,university,subsurface_acres,surface_acres,timber_acres,price_paid,present_day_tribe_count,present_day_tribe,tribes_named_in_cession_count,tribes_named_in_cession,cession_count,all_cessions
0,Colorado State University,42770.93,18814.8,,100232.51,8,"Arapaho Tribe of the Wind River Reservation, Wyoming;Cheyenne and Arapaho Tribes, Oklahoma;Comanche Nation, Oklahoma;Kiowa Indian Tribe of Oklahoma;Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana;Southern Ute Indian Tribe of the Southern Ute Reservation, Colorado;Ute Indian Tribe of the Uintah & Ouray Reservation, Utah;Ute Mountain Ute Tribe, Colorado, New Mexico, & Utah",8,"Arapaho;Arapaho of Upper Arkansas;Cheyenne;Cheyenne of Upper Arkansas;Comanche;Kiowa;Uta;Uta (Tabeguache, Muache, Capote, Weeminuchi, Yampa, Grand River, and Uintah bands)",8,566;616;586;426;515;511;478;477
1,Montana State University,104585.7,158396.12,,645986.55,27,"Arapaho Tribe of the Wind River Reservation, Wyoming;Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana;Blackfeet Tribe of the Blackfeet Indian Reservation of Montana;Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota;Confederated Salish & Kootenai Tribes of the Flathead Reservation, Montana;Confederated Tribes of the Colville Reservation, Washington;Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota;Crow Tribe of Montana;Flandreau Santee Sioux Tribe of South Dakota;Fort Belknap Indian Community of the Fort Belknap Reservation of Montana;Keweenaw Bay Indian Community, Michigan;Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan;Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota;Lower Sioux Indian Community in the State of Minnesota;Nez Perce Tribe of Idaho;Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana;Oglala Sioux Tribe of the Pine Ridge Reservation, South Dakota;Prairie Island Indian Community in the State of Minnesota;Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota;Santee Sioux Nation, Nebraska;Shakopee Mdewakanton Sioux Community of Minnesota;Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota;Spirit Lake Tribe, North Dakota;Standing Rock Sioux Tribe of North & South Dakota;Three Affiliated Tribes of the Fort Berthold Reservation, North Dakota;Upper Sioux Community, Minnesota;Yankton Sioux Tribe of South Dakota",17,"Arapaho;Arikara;Blackfoot;Blood;Chippewa, Ontonagon band;Crow;Flathead;Gros Ventre;Indians of Fort Peck agency;Kootenay;Mandan;Nez Percè, Blackfoot and Flathead Nations;Northern Cheyenne;Piegan;River Crow;Sioux;Upper Pend d'Orelles",15,693;574;565;692;714;517;529;619;373;557;399;597;398;635;620
2,New Mexico State University,253484.59,186179.8,,59410.41,10,"Apache Tribe of Oklahoma;Comanche Nation, Oklahoma;Fort Sill Apache Tribe of Oklahoma;Jicarilla Apache Nation, New Mexico;Kiowa Indian Tribe of Oklahoma;Mescalero Apache Tribe of the Mescalero Reservation, New Mexico;Navajo Nation, Arizona, New Mexico & Utah;San Carlos Apache Tribe of the San Carlos Reservation, Arizona;Tonto Apache Tribe of Arizona;White Mountain Apache Tribe of the Fort Apache Reservation, Arizona",9,Apache;Apache (Mescalero);Apache (eastern bands);Apache (western bands);Comanche;Gila Apache;Kiowa;Navaho;Southern Apache,8,644;588;424;448;688;689;519;478
3,North Dakota State University,111452.61,15034.54,,74968.19,24,"Arapaho Tribe of the Wind River Reservation, Wyoming;Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana;Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota;Chippewa Cree Indians of the Rocky Boy's Reservation, Montana;Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota;Flandreau Santee Sioux Tribe of South Dakota;Fort Belknap Indian Community of the Fort Belknap Reservation of Montana;Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota;Lower Sioux Indian Community in the State of Minnesota;Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana;Oglala Sioux Tribe of the Pine Ridge Reservation, South Dakota;Prairie Island Indian Community in the State of Minnesota;Red Lake Band of Chippewa Indians, Minnesota;Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota;Santee Sioux Nation, Nebraska;Shakopee Mdewakanton Sioux Community of Minnesota;Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota;Spirit Lake Tribe, North Dakota;Standing Rock Sioux Tribe of North & South Dakota;Three Affiliated Tribes of the Fort Berthold Reservation, North Dakota;Turtle Mountain Band of Chippewa Indians of North Dakota;Upper Sioux Community, Minnesota;White Earth Band of Minnesota Chippewa Tribe, Minnesota;Yankton Sioux Tribe of South Dakota",11,"Arapaho;Arikara;Chippewa (Red Lake and Pembina bands);Chippewa (Turtle Mountain band);Gros Ventre;Mandan;Northern Cheyenne;Sioux;Sioux (Wahpeton and Sisseton Bands);Sioux, Sisseton;Sioux, Standing Rock",16,516;538;712;581;702;699;445;599;497;632;713;614;529;621;620;654
4,Oklahoma State University,136020.5,29674.49,,524628.27,17,"Arapaho Tribe of the Wind River Reservation, Wyoming;Cherokee Nation, Oklahoma;Cheyenne and Arapaho Tribes, Oklahoma;Chickasaw Nation, Oklahoma;Choctaw Nation of Oklahoma;Comanche Nation, Oklahoma;Eastern Band of Cherokee Indians of North Carolina;Jena Band of Choctaw Indians, Louisiana;Kiowa Indian Tribe of Oklahoma;Mississippi Band of Choctaw Indians, Mississippi;Quapaw Tribe of Indians, Oklahoma;Santee Sioux Nation, Nebraska;Seminole Nation of Oklahoma;Seminole Tribe of Florida;The Osage Nation, Oklahoma;United Keetoowah Band of Cherokee Indians in Oklahoma;Wichita and Affiliated Tribes (Wichita, Keechi, Waco & Tawakonie), Oklahoma",15,Apache (eastern bands);Arapaho;Cherokee;Cheyenne;Chickasaw;Choctaw;Comanche;Creek;Creek or Muscogee;Great and Little Osage;Kiowa;Pawnee;Quapaw;Seminole;Wichita,18,489;94;485;540a;486;123;510;404;97;367;591;492;688;368;511;525;478;698
5,South Dakota State University,137816.12,47407.0,,92358.68,20,"Arapaho Tribe of the Wind River Reservation, Wyoming;Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana;Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota;Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota;Flandreau Santee Sioux Tribe of South Dakota;Ho-Chunk Nation of Wisconsin;Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota;Lower Sioux Indian Community in the State of Minnesota;Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana;Oglala Sioux Tribe of the Pine Ridge Reservation, South Dakota;Prairie Island Indian Community in the State of Minnesota;Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota;Santee Sioux Nation, Nebraska;Shakopee Mdewakanton Sioux Community of Minnesota;Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota;Spirit Lake Tribe, North Dakota;Standing Rock Sioux Tribe of North & South Dakota;Upper Sioux Community, Minnesota;Winnebago Tribe of Nebraska;Yankton Sioux Tribe of South Dakota",8,"Arapaho;Northern Cheyenne;Santee Sioux;Sioux;Sioux (Wahpeton and Sisseton Bands);Sioux, Sisseton;Winnebago;Yankton Sioux",11,289;598;410;523;538;496;699;632;468;614;653
6,Texas A&M,2106057.14,2102628.34,,1026654.62,7,"Apache Tribe of Oklahoma;Comanche Nation, Oklahoma;Fort Sill Apache Tribe of Oklahoma;Jicarilla Apache Nation, New Mexico;Kiowa Indian Tribe of Oklahoma;Mescalero Apache Tribe of the Mescalero Reservation, New Mexico;White Mountain Apache Tribe of the Fort Apache Reservation, Arizona",3,Apache (eastern bands);Comanche;Kiowa,3,511;478;688
7,University of Arizona,705380.5,689586.52,,77245.9,4,"Navajo Nation, Arizona, New Mexico & Utah;San Carlos Apache Tribe of the San Carlos Reservation, Arizona;Tonto Apache Tribe of Arizona;White Mountain Apache Tribe of the Fort Apache Reservation, Arizona",10,Apache;Apache (western bands);Cocopa;Havasupai;Maricopa;Navaho;Papago;Pima;Walapai;Yuma,12,685;651;596;573;633;683;600;686;687;546;689;519
8,University of Idaho,239515.32,164960.71,,657338.57,8,"Coeur D'Alene Tribe, Idaho;Confederated Salish & Kootenai Tribes of the Flathead Reservation, Montana;Confederated Tribes of the Colville Reservation, Washington;Confederated Tribes of the Goshute Reservation;Nez Perce Tribe of Idaho;Northwestern Band of Shoshoni Nation of Utah (Washakie);Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho;Te-Moak Tribe of Western Shoshone Indians of Nevada",11,Bannock;Coeur d'Alene;Coeur d'Alène;Flathead;Kootenay;Methow;Nez Percé;Okanagan;Shoshoni;Shoshoni (Western bands);Upper Pend d'Orelles,9,524;552;444;532;441;373;553;366;520
9,University of Minnesota,48091.95,25896.61,,241013.76,41,"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana;Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin;Bay Mills Indian Community, Michigan;Bois Forte Band (Nett Lake) of the Minnesota Chippewa Tribe, Minnesota;Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota;Chippewa Cree Indians of the Rocky Boy's Reservation, Montana;Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota;Flandreau Santee Sioux Tribe of South Dakota;Fond du Lac Band of the Minnesota Chippewa Tribe, Minnesota;Grand Portage Band of the Minnesota Chippewa Tribe, Minnesota;Grand Traverse Band of Ottawa and Chippewa Indians, Michigan;Ho-Chunk Nation of Wisconsin;Keweenaw Bay Indian Community, Michigan;Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin;Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan;Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin;Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota;Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota;Lower Sioux Indian Community in the State of Minnesota;Menominee Indian Tribe of Wisconsin;Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota;Minnesota Chippewa Tribe, Minnesota;Oglala Sioux Tribe of the Pine Ridge Reservation, South Dakota;Prairie Island Indian Community in the State of Minnesota;Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin;Red Lake Band of Chippewa Indians, Minnesota;Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota;Saginaw Chippewa Indian Tribe of Michigan;Santee Sioux Nation, Nebraska;Sault Ste. Marie Tribe of Chippewa Indians of Michigan;Shakopee Mdewakanton Sioux Community of Minnesota;Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota;Sokaogon Chippewa Community, Wisconsin;Spirit Lake Tribe, North Dakota;St. Croix Chippewa Indians of Wisconsin;Standing Rock Sioux Tribe of North & South Dakota;Turtle Mountain Band of Chippewa Indians of North Dakota;Upper Sioux Community, Minnesota;White Earth Band of Minnesota Chippewa Tribe, Minnesota;Winnebago Tribe of Nebraska;Yankton Sioux Tribe of South Dakota",10,Chippewa;Chippewa (Bois Forte band);Chippewa (Pillager band);Chippewa (Red Lake and Pembina bands);Chippewa of the Mississippi;Chippewa of the Mississippi and Lake Superior;Menomini;Sioux;Sioux (Wahpeton and Sisseton Bands);Winnebago,12,289;243;482;332;261;268;269;445;357;321;361;242
10,University of Wisconsin,,68104.06,,107352.77,41,"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana;Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin;Bay Mills Indian Community, Michigan;Bois Forte Band (Nett Lake) of the Minnesota Chippewa Tribe, Minnesota;Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota;Chippewa Cree Indians of the Rocky Boy's Reservation, Montana;Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota;Flandreau Santee Sioux Tribe of South Dakota;Fond du Lac Band of the Minnesota Chippewa Tribe, Minnesota;Grand Portage Band of the Minnesota Chippewa Tribe, Minnesota;Grand Traverse Band of Ottawa and Chippewa Indians, Michigan;Ho-Chunk Nation of Wisconsin;Keweenaw Bay Indian Community, Michigan;Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin;Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan;Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin;Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota;Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota;Lower Sioux Indian Community in the State of Minnesota;Menominee Indian Tribe of Wisconsin;Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota;Minnesota Chippewa Tribe, Minnesota;Oglala Sioux Tribe of the Pine Ridge Reservation, South Dakota;Prairie Island Indian Community in the State of Minnesota;Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin;Red Lake Band of Chippewa Indians, Minnesota;Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota;Saginaw Chippewa Indian Tribe of Michigan;Santee Sioux Nation, Nebraska;Sault Ste. Marie Tribe of Chippewa Indians of Michigan;Shakopee Mdewakanton Sioux Community of Minnesota;Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota;Sokaogon Chippewa Community, Wisconsin;Spirit Lake Tribe, North Dakota;St. Croix Chippewa Indians of Wisconsin;Standing Rock Sioux Tribe of North & South Dakota;Turtle Mountain Band of Chippewa Indians of North Dakota;Upper Sioux Community, Minnesota;White Earth Band of Minnesota Chippewa Tribe, Minnesota;Winnebago Tribe of Nebraska;Yankton Sioux Tribe of South Dakota",5,Chippewa;Chippewa of the Mississippi and Lake Superior;Menomini;Sioux;Winnebago,9,271;160;243;336;261;174;219;245;242
11,University of Wyoming,118449.68,103929.4,,94879.34,22,"Arapaho Tribe of the Wind River Reservation, Wyoming;Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana;Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota;Cheyenne and Arapaho Tribes, Oklahoma;Confederated Tribes of the Goshute Reservation;Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota;Crow Tribe of Montana;Flandreau Santee Sioux Tribe of South Dakota;Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota;Lower Sioux Indian Community in the State of Minnesota;Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana;Oglala Sioux Tribe of the Pine Ridge Reservation, South Dakota;Prairie Island Indian Community in the State of Minnesota;Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota;Santee Sioux Nation, Nebraska;Shakopee Mdewakanton Sioux Community of Minnesota;Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho;Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota;Spirit Lake Tribe, North Dakota;Standing Rock Sioux Tribe of North & South Dakota;Upper Sioux Community, Minnesota;Yankton Sioux Tribe of South Dakota",9,"Arapaho;Arapaho of Upper Arkansas;Bannock;Cheyenne of Upper Arkansas;Crow;Northern Cheyenne;Shoshoni;Sioux;Sioux, Wahpeton",5,517;426;539;597;520
12,Utah State University,74404.21,31127.2,,94301.89,29,"Big Pine Band of Owens Valley Paiute Shoshone Indians of the Big Pine Reservation, California;Bishop Paiute Tribe, California;Bridgeport Paiute Indian Colony of California;Burns Paiute Tribe of the Burns Paiute Indian Colony of Oregon;Confederated Tribes of the Goshute Reservation;Fort Independence Indian Community of Paiute Indians of the Fort Independence Reservation, California;Fort McDermitt Paiute and Shoshone Tribes of the Fort McDermitt Indian Reservation, Nevada and Oregon;Kaibab Band of Paiute Indians of the Kaibab Indian Reservation, Arizona;Las Vegas Tribe of Paiute Indians of the Las Vegas Indian Colony, Nevada;Lone Pine Paiute-Shoshone Tribe, California;Lovelock Paiute Tribe of the Lovelock Indian Colony, Nevada;Moapa Band of Paiute Indians of the Moapa River Indian Reservation, Nevada;Northwestern Band of Shoshoni Nation of Utah (Washakie);Paiute Indian Tribe of Utah;Paiute-Shoshone Indians of the Bishop Community of the Bishop Colony, California;Paiute-Shoshone Indians of the Lone Pine Community of the Lone Pine Reservation, California;Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada;Pyramid Lake Paiute Tribe of the Pyramid Lake Reservation, Nevada;San Juan Southern Paiute Tribe of Arizona;Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho;Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada;Southern Ute Indian Tribe of the Southern Ute Reservation, Colorado;Summit Lake Paiute Tribe of Nevada;Te-Moak Tribe of Western Shoshone Indians of Nevada;Ute Indian Tribe of the Uintah & Ouray Reservation, Utah;Ute Mountain Ute Tribe, Colorado, New Mexico, & Utah;Utu Utu Gwaitu Paiute Tribe of the Benton Paiute Reservation, California;Walker River Paiute Tribe of the Walker River Reservation, Nevada;Yerington Paiute Tribe of the Yerington Colony & Campbell Ranch, Nevada",8,"Bannock;Paiute;Shoshone-Goship;Shoshoni;Shoshoni (Western bands);Uintah Uta;Uta;Uta (Tabeguache, Muache, Capote, Weeminuchi, Yampa, Grand River, and Uintah bands)",9,520;444;432;515;558;447;450;431;451
13,Washington State University,185972.03,156808.59,157134.68,519308.77,20,"Coeur D'Alene Tribe, Idaho;Confederated Tribes and Bands of the Yakama Nation, Washington;Confederated Tribes of the Chehalis Reservation, Washington;Confederated Tribes of the Colville Reservation, Washington;Confederated Tribes of the Umatilla Indian Reservation, Oregon;Duwamish Tribe of Indians [Unrecognized];Jamestown S'Klallam Tribe, Washington;Lower Elwha Tribal Community, Washington;Makah Indian Tribe of the Makah Indian Reservation, Washington;Nez Perce Tribe of Idaho;Nisqually Indian Tribe of the Nisqually Reservation, Washington;Nonfederally Recognized Indian Groups;Port Gamble S'Klallam Tribe, Washington;Puyallup Tribe of the Puyallup Reservation, Washington;Quileute Tribe of the Quileute Reservation, Washington;Quinault Tribe of the Quinault Reservation, Washington;Shoalwater Bay Tribe of the Shoalwater Bay Indian Reservation, Washington;Spokane Tribe of the Spokane Reservation, Washington;Squaxin Island Tribe of the Squaxin Island Reservation, Washington;Suquamish Indian Tribe of the Port Madison Reservation, Washington",30,Cayuse;Chehalis;Chinook;Coeur d'Alène;Colville Indian Reservation;Dwamish;Klatsop;Klikitat;Makah;Methow;Nez Percé;Nez Percé (Moses' band);Niskwali;Okanagan;Puyallup;Qui-nai-elt;Quil-leh-ute;S'Homamish;Sa-heh-wamish;Sklallam;Spokane;Squaxin;Squiaitl;Steh-chass;Steilacoom;Suquamish;T'Peeksin;Umatilla;Walla-walla;Yakima,19,659;371;347;345;718;353;642;553;366;362;458;717;618;355;364;533;532;536;625
